rule,normalized_support,coverage,h_value,ch_value,oh_value,normalized_coverage
agecp >= 37.5,1.0,0.981651376146789,0.4572649572649572,0.4488747745628479,0.4572649572649572,0.01442826321467098
thalcp >= 1.5,1.0,0.908256880733945,0.4361233480176211,0.3961120316857293,0.4361233480176211,0.013349514563106795
thalcp >= 1.5 & agecp >= 37.5,1.0,0.8899082568807339,0.4429223744292237,0.3941602781617862,0.4429223744292237,0.013079827400215748
thalachcp >= 110.0,1.0,0.8807339449541285,0.4210526315789473,0.3708353452438435,0.4210526315789473,0.012944983818770225
fbscp < 0.5,0.75,0.8715596330275229,0.4502369668246445,0.3924083655811122,0.3376777251184834,0.012810140237324703
thalachcp >= 110.0 & agecp >= 37.5,1.0,0.8623853211009175,0.4272727272727272,0.3684737281067556,0.4272727272727272,0.01267529665587918
agecp >= 37.5 & fbscp < 0.5,0.75,0.8532110091743119,0.458128078817734,0.3908799204591675,0.3435960591133005,0.012540453074433655
sexcp >= 0.5,1.0,0.8165137614678899,0.559748427672956,0.4570422941549824,0.559748427672956,0.012001078748651563
thalcp >= 1.5 & thalachcp >= 110.0,1.0,0.8073394495412844,0.4093023255813953,0.3304459142308513,0.4093023255813953,0.01186623516720604
thalcp >= 1.5 & fbscp < 0.5,0.75,0.8073394495412844,0.44,0.3552293577981651,0.33,0.01186623516720604
sexcp >= 0.5 & agecp >= 37.5,1.0,0.7981651376146789,0.5686274509803921,0.4538586076632487,0.5686274509803921,0.011731391585760517
comcp < 1.5,0.5,0.7981651376146789,0.5761589403973509,0.4598699799501792,0.2880794701986754,0.011731391585760517
thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5,1.0,0.7889908256880734,0.4154589371980676,0.3277932898993928,0.4154589371980676,0.011596548004314994
thalachcp < 160.5,1.0,0.7889908256880734,0.5657894736842105,0.4464027040077257,0.5657894736842105,0.011596548004314994
thalcp >= 1.5 & agecp >= 37.5 & fbscp < 0.5,0.75,0.7889908256880734,0.4479166666666667,0.3534021406727829,0.3359375,0.011596548004314994
agecp >= 37.5 & comcp < 1.5,0.5,0.7798165137614679,0.5821917808219178,0.4540027648611285,0.2910958904109589,0.01146170442286947
thalachcp >= 110.0 & fbscp < 0.5,0.75,0.7706422018348624,0.42,0.3236697247706422,0.315,0.011326860841423947
agecp >= 37.5 & thalachcp < 160.5,1.0,0.7706422018348624,0.56,0.431559633027523,0.56,0.011326860841423947
oldpeakcp >= 0.55,0.75,0.7522935779816514,0.5985401459854015,0.4502779079890177,0.4489051094890511,0.011057173678532902
thalachcp >= 110.0 & agecp >= 37.5 & fbscp < 0.5,0.75,0.7522935779816514,0.4270833333333333,0.3212920489296636,0.3203125,0.011057173678532902
oldpeakcp >= 0.55 & agecp >= 37.5,0.75,0.7431192660550459,0.6044776119402985,0.4491989593317814,0.4533582089552238,0.010922330097087377
sexcp >= 0.5 & thalcp >= 1.5,1.0,0.7247706422018348,0.5448275862068965,0.3948750395444479,0.5448275862068965,0.010652642934196332
sexcp >= 0.5 & fbscp < 0.5,0.75,0.7247706422018348,0.5766423357664233,0.4179334360141967,0.4324817518248175,0.010652642934196332
thalcp >= 1.5 & comcp < 1.5,0.5,0.7247706422018348,0.5602836879432624,0.4060771683258508,0.2801418439716312,0.010652642934196332
oldpeakcp < 2.3499999999999996,0.75,0.7247706422018348,0.3744075829383886,0.2713596243314926,0.2808056872037914,0.010652642934196332
thalcp >= 1.5 & thalachcp >= 110.0 & fbscp < 0.5,0.75,0.7155963302752294,0.4105263157894737,0.2937711250603573,0.3078947368421053,0.010517799352750809
comcp < 0.5,0.5,0.7155963302752294,0.7090909090909091,0.5074228523769808,0.3545454545454545,0.010517799352750809
sexcp >= 0.5 & thalachcp >= 110.0,1.0,0.7155963302752294,0.527027027027027,0.3771386064964046,0.527027027027027,0.010517799352750809
agecp >= 37.5 & oldpeakcp < 2.3499999999999996,0.75,0.7064220183486238,0.3774509803921568,0.2666396833962943,0.2830882352941176,0.010382955771305285
sexcp >= 0.5 & thalcp >= 1.5 & agecp >= 37.5,1.0,0.7064220183486238,0.5539568345323741,0.3913273051283744,0.5539568345323741,0.010382955771305285
thalcp >= 1.5 & agecp >= 37.5 & comcp < 1.5,0.5,0.7064220183486238,0.5661764705882353,0.3999595250944414,0.2830882352941176,0.010382955771305285
sexcp >= 0.5 & agecp >= 37.5 & fbscp < 0.5,0.75,0.7064220183486238,0.5877862595419847,0.4152251558232369,0.4408396946564885,0.010382955771305285
thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5 & fbscp < 0.5,0.75,0.6972477064220184,0.4175824175824176,0.2911583829015022,0.3131868131868132,0.010248112189859762
agecp >= 37.5 & comcp < 0.5,0.5,0.6972477064220184,0.7102803738317757,0.4952413615707794,0.3551401869158878,0.010248112189859762
thalcp >= 1.5 & thalachcp < 160.5,1.0,0.6972477064220184,0.5507246376811594,0.3839914904932855,0.5507246376811594,0.010248112189859762
sexcp >= 0.5 & thalachcp >= 110.0 & agecp >= 37.5,1.0,0.6972477064220184,0.5352112676056338,0.3731748287892492,0.5352112676056338,0.010248112189859762
cholcp < 272.5,0.75,0.6880733944954128,0.4213483146067415,0.2899185650963818,0.3160112359550561,0.010113268608414239
fbscp < 0.5 & thalachcp < 160.5,0.75,0.6880733944954128,0.5725190839694656,0.3939351495202745,0.4293893129770992,0.010113268608414239
thalachcp >= 110.0 & comcp < 1.5,0.5,0.6880733944954128,0.539568345323741,0.3712626229291795,0.2697841726618705,0.010113268608414239
thalcp >= 1.5 & agecp >= 37.5 & thalachcp < 160.5,1.0,0.6788990825688074,0.5441176470588235,0.3694009713977333,0.5441176470588235,0.009978425026968716
agecp >= 37.5 & cholcp < 272.5,0.75,0.6788990825688074,0.4327485380116959,0.293792585439133,0.3245614035087719,0.009978425026968716
oldpeakcp >= 0.55 & thalcp >= 1.5,0.75,0.6697247706422018,0.584,0.3911192660550458,0.4379999999999999,0.009843581445523192
thalachcp >= 110.0 & agecp >= 37.5 & comcp < 1.5,0.5,0.6697247706422018,0.5447761194029851,0.3648500616185129,0.2723880597014925,0.009843581445523192
agecp >= 37.5 & fbscp < 0.5 & thalachcp < 160.5,0.75,0.6697247706422018,0.5658914728682171,0.3789915368750444,0.4244186046511627,0.009843581445523192
thalachcp >= 110.0 & thalachcp < 160.5,1.0,0.6697247706422018,0.5289855072463768,0.3542746975136285,0.5289855072463768,0.009843581445523192
sexcp >= 0.5 & thalcp >= 1.5 & fbscp < 0.5,0.75,0.6605504587155964,0.5669291338582677,0.3744852994293144,0.4251968503937008,0.009708737864077669
oldpeakcp >= 0.55 & thalcp >= 1.5 & agecp >= 37.5,0.75,0.6605504587155964,0.5901639344262295,0.389833057602647,0.4426229508196721,0.009708737864077669
thalachcp >= 110.0 & agecp >= 37.5 & thalachcp < 160.5,1.0,0.6513761467889908,0.5220588235294118,0.3400566648677819,0.5220588235294118,0.009573894282632146
thalcp >= 1.5 & comcp < 0.5,0.5,0.6513761467889908,0.7029702970297029,0.4578980833863202,0.3514851485148514,0.009573894282632146
thalcp >= 1.5 & oldpeakcp < 2.3499999999999996,0.75,0.6513761467889908,0.3585858585858585,0.2335742748586785,0.2689393939393939,0.009573894282632146
sexcp >= 0.5 & thalcp >= 1.5 & agecp >= 37.5 & fbscp < 0.5,0.75,0.6422018348623854,0.5785123966942148,0.3715217226476609,0.4338842975206611,0.009439050701186624
comcp < 1.5 & thalachcp < 160.5,0.5,0.6422018348623854,0.693069306930693,0.4450903805976928,0.3465346534653465,0.009439050701186624
oldpeakcp >= 0.55 & thalachcp >= 110.0,0.75,0.6422018348623854,0.56,0.3596330275229358,0.42,0.009439050701186624
oldpeakcp >= 0.55 & thalachcp < 160.5,0.75,0.6422018348623854,0.6730769230769231,0.4322512350035286,0.5048076923076923,0.009439050701186624
sexcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0,1.0,0.6422018348623854,0.5147058823529411,0.3305450620615218,0.5147058823529411,0.009439050701186624
oldpeakcp >= 0.55 & fbscp < 0.5,0.5,0.6422018348623854,0.5982905982905983,0.3842233200031365,0.2991452991452991,0.009439050701186624
sexcp >= 0.5 & thalachcp < 160.5,1.0,0.6422018348623854,0.693069306930693,0.4450903805976928,0.693069306930693,0.009439050701186624
sexcp >= 0.5 & thalachcp >= 110.0 & fbscp < 0.5,0.75,0.6330275229357798,0.5433070866141733,0.3439283392328253,0.40748031496063,0.009304207119741099
thalcp >= 1.5 & agecp >= 37.5 & comcp < 0.5,0.5,0.6330275229357798,0.7040816326530612,0.445703051862947,0.3520408163265306,0.009304207119741099
oldpeakcp >= 0.55 & thalachcp >= 110.0 & agecp >= 37.5,0.75,0.6330275229357798,0.5655737704918032,0.3580237629718754,0.4241803278688524,0.009304207119741099
oldpeakcp >= 0.55 & agecp >= 37.5 & thalachcp < 160.5,0.75,0.6330275229357798,0.6699029126213593,0.4240669813841632,0.5024271844660194,0.009304207119741099
