rule,normalized_support,coverage,h_value,ch_value,oh_value,normalized_coverage
thalachcp >= 110.0,0.9924812030075189,0.9924812030075189,0.5789473684210527,0.5745943806885635,0.5745943806885636,0.04824561403508771
thalcp >= 1.5,0.962406015037594,0.962406015037594,0.5638766519823789,0.5426782816071015,0.5426782816071015,0.04678362573099414
agecp >= 37.5,0.9548872180451128,0.9548872180451128,0.5427350427350427,0.5182507550928603,0.5182507550928603,0.04641812865497075
thalcp >= 1.5 & thalachcp >= 110.0,0.9548872180451128,0.9548872180451128,0.5906976744186047,0.5640496590312992,0.5640496590312992,0.04641812865497075
agecp >= 37.5 & thalachcp >= 110.0,0.9473684210526316,0.9473684210526316,0.5727272727272728,0.5425837320574163,0.5425837320574163,0.04605263157894736
agecp >= 37.5 & thalcp >= 1.5,0.9172932330827068,0.9172932330827068,0.5570776255707762,0.5110035362378549,0.5110035362378549,0.04459064327485379
agecp >= 37.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.9097744360902256,0.9097744360902256,0.5845410628019324,0.5318005157822092,0.5318005157822092,0.044225146198830396
comcp >= 0.5,0.7593984962406015,0.7593984962406015,0.7651515151515151,0.5810549100022784,0.5810549100022784,0.03691520467836257
comcp >= 0.5 & thalachcp >= 110.0,0.7518796992481203,0.7518796992481203,0.7751937984496124,0.5828524800373026,0.5828524800373026,0.03654970760233917
comcp >= 0.5 & thalcp >= 1.5,0.7368421052631579,0.7368421052631579,0.7777777777777778,0.5730994152046783,0.5730994152046783,0.03581871345029239
comcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.7293233082706767,0.7293233082706767,0.7886178861788617,0.5751574057093954,0.5751574057093954,0.035453216374269
comcp >= 0.5 & agecp >= 37.5,0.7218045112781954,0.7218045112781954,0.7559055118110236,0.54561600852525,0.54561600852525,0.035087719298245605
comcp >= 0.5 & agecp >= 37.5 & thalachcp >= 110.0,0.7142857142857143,0.7142857142857143,0.7661290322580645,0.5472350230414746,0.5472350230414746,0.03472222222222222
comcp >= 0.5 & agecp >= 37.5 & thalcp >= 1.5,0.6992481203007519,0.6992481203007519,0.768595041322314,0.5374386379171068,0.5374386379171068,0.03399122807017543
comcp >= 0.5 & agecp >= 37.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.6917293233082706,0.6917293233082706,0.7796610169491526,0.5393143876640755,0.5393143876640755,0.03362573099415204
cholcp >= 231.5 & thalachcp >= 110.0,0.556390977443609,0.556390977443609,0.5606060606060606,0.3119161540214171,0.3119161540214171,0.027046783625730986
cholcp >= 231.5,0.556390977443609,0.556390977443609,0.524822695035461,0.2920066122753692,0.2920066122753692,0.027046783625730986
trestbpscp >= 129.0 & thalachcp >= 110.0,0.5488721804511278,0.5488721804511278,0.5934959349593496,0.3257534079100189,0.3257534079100189,0.026681286549707597
trestbpscp >= 129.0,0.5488721804511278,0.5488721804511278,0.5572519083969466,0.3058600700223842,0.3058600700223842,0.026681286549707597
cholcp >= 231.5 & agecp >= 37.5,0.5488721804511278,0.5488721804511278,0.5251798561151079,0.2882566127549088,0.2882566127549088,0.026681286549707597
cholcp >= 231.5 & agecp >= 37.5 & thalachcp >= 110.0,0.5488721804511278,0.5488721804511278,0.5615384615384615,0.3082128397917871,0.3082128397917871,0.026681286549707597
cholcp >= 231.5 & thalcp >= 1.5,0.5488721804511278,0.5488721804511278,0.5407407407407407,0.2967975494291284,0.2967975494291284,0.026681286549707597
cholcp >= 231.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.5488721804511278,0.5488721804511278,0.5793650793650794,0.3179973743883518,0.3179973743883518,0.026681286549707597
cholcp >= 231.5 & agecp >= 37.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.5413533834586466,0.5413533834586466,0.5806451612903226,0.3143342226534077,0.3143342226534077,0.026315789473684202
cholcp >= 231.5 & agecp >= 37.5 & thalcp >= 1.5,0.5413533834586466,0.5413533834586466,0.5413533834586466,0.2930634857821244,0.2930634857821244,0.026315789473684202
trestbpscp >= 129.0 & thalcp >= 1.5,0.5338345864661654,0.5338345864661654,0.5772357723577236,0.3081484198300629,0.3081484198300629,0.025950292397660814
trestbpscp >= 129.0 & thalcp >= 1.5 & thalachcp >= 110.0,0.5338345864661654,0.5338345864661654,0.6068376068376068,0.3239509028982713,0.3239509028982713,0.025950292397660814
trestbpscp >= 129.0 & agecp >= 37.5,0.5263157894736842,0.5263157894736842,0.546875,0.287828947368421,0.287828947368421,0.02558479532163742
trestbpscp >= 129.0 & agecp >= 37.5 & thalachcp >= 110.0,0.5263157894736842,0.5263157894736842,0.5833333333333334,0.3070175438596491,0.3070175438596491,0.02558479532163742
comcp >= 1.5,0.518796992481203,0.518796992481203,0.7582417582417582,0.3933735437494836,0.3933735437494836,0.02521929824561403
